task,policy,R@1,R@5,R@10,R@20,R@50,IDR@50,expanded_items_mean,generation_ms_per_query,queries
visualnews_task0,Sequential,0.1225,0.2017,0.2236,,,0.2455,50.67,49.01650322580645,19995
visualnews_task0,Interacting-Suffix P2L,0.1549,0.2624,0.2959,,,0.3266,50.76,22.408438009502376,19995
visualnews_task0,Independent-Suffix P2L,0.1533,0.2601,0.2922,,,0.3211,50.74,23.995430007501874,19995
mscoco_task0,Sequential,0.5273,0.7623,0.8265,,,0.8881,50.0,46.91429594098916,24809
mscoco_task0,Interacting-Suffix P2L,0.5294,0.7663,0.8336,,,0.8995,50.0,22.683622274174695,24809
mscoco_task0,Independent-Suffix P2L,0.5294,0.7664,0.8341,,,0.9001,50.0,23.725024184771655,24809
fashion200k_task0,Sequential,,,0.1379,0.1792,0.2205,0.2187,50.58,50.18600930773706,1719
fashion200k_task0,Interacting-Suffix P2L,,,0.1495,0.1908,0.2327,0.2309,50.64,24.09273182082606,1719
fashion200k_task0,Independent-Suffix P2L,,,0.1472,,,0.2449,50.63,24.975296684118675,1719
webqa_task1,Sequential,0.2391,0.3128,0.3226,,,0.3291,50.22,50.62538900203666,2455
webqa_task1,Interacting-Suffix P2L,0.3255,0.4224,0.4383,,,0.4432,50.23,25.035870875763745,2455
webqa_task1,Independent-Suffix P2L,0.347,0.4525,0.466,,,0.4713,50.24,26.128752342158855,2455
edis_task2,Sequential,0.2039,0.3622,0.4098,,,0.4591,51.42,51.37937272446776,3241
edis_task2,Interacting-Suffix P2L,0.2305,0.4418,0.5017,,,0.5619,51.55,25.533568651650725,3241
edis_task2,Independent-Suffix P2L,0.2367,0.4452,0.5073,,,0.564,51.58,26.427164146868254,3241
webqa_task2,Sequential,0.3517,0.5177,0.5615,,,0.5878,53.76,50.065784547988855,2511
webqa_task2,Interacting-Suffix P2L,0.3839,0.5699,0.6169,,,0.6464,53.93,23.918028673835124,2511
webqa_task2,Independent-Suffix P2L,0.4066,0.5986,0.6503,,,0.677,53.92,24.906651135005976,2511
visualnews_task3,Sequential,0.1283,0.2106,0.2329,,,0.2545,50.08,49.674844900000004,20000
visualnews_task3,Interacting-Suffix P2L,0.1636,0.2735,0.3078,,,0.3414,50.09,23.80438265,20000
visualnews_task3,Independent-Suffix P2L,0.1641,0.2727,0.3068,,,0.3392,50.09,24.654706150000003,20000
mscoco_task3,Sequential,0.7194,0.893,0.934,,,0.9688,50.03,48.6170578,5000
mscoco_task3,Interacting-Suffix P2L,0.7218,0.9026,0.9408,,,0.9772,50.03,23.4263224,5000
mscoco_task3,Independent-Suffix P2L,0.7246,0.9038,0.9422,,,0.9774,50.03,24.4777544,5000
fashion200k_task3,Sequential,,,0.1552,0.1974,0.2364,0.2364,50.04,49.02560850889753,4889
fashion200k_task3,Interacting-Suffix P2L,,,0.1622,0.2131,0.2598,0.2596,50.06,23.453210063407653,4889
fashion200k_task3,Independent-Suffix P2L,,,0.1612,,,0.2579,50.07,24.024830026590305,4889
nights_task4,Sequential,0.0717,0.2981,0.4858,,,0.7684,50.08,49.7044108490566,2120
nights_task4,Interacting-Suffix P2L,0.0717,0.3038,0.5028,,,0.8024,50.08,24.046548113207546,2120
nights_task4,Independent-Suffix P2L,0.0731,0.3075,0.5028,,,0.817,50.08,25.18957641509434,2120
oven_task6,Sequential,0.2393,0.3747,0.4073,,,0.4388,50.02,48.58401311895049,50004
oven_task6,Interacting-Suffix P2L,0.2464,0.3883,0.425,,,0.4595,50.02,23.428210383169347,50004
oven_task6,Independent-Suffix P2L,0.2479,0.3958,0.435,,,0.4739,50.02,24.200048836093114,50004
infoseek_task6,Sequential,0.1092,0.1861,0.217,,,0.2643,56.58,49.39334187052901,11323
infoseek_task6,Interacting-Suffix P2L,0.1136,0.1916,0.2227,,,0.2698,58.06,23.819592069239604,11323
infoseek_task6,Independent-Suffix P2L,0.1182,0.2014,0.2381,,,0.2892,57.43,23.814436456769407,11323
fashioniq_task7,Sequential,,,0.1516,0.1836,0.2074,0.2071,51.61,49.482800099950026,6003
fashioniq_task7,Interacting-Suffix P2L,,,0.1626,0.1959,0.2246,0.2212,51.55,23.59569098783942,6003
fashioniq_task7,Independent-Suffix P2L,,,0.1739,,,0.2364,51.54,23.56104181242712,6003
cirr_task7,Sequential,0.124,0.3456,0.4216,,,0.5115,50.97,49.29028177458033,4170
cirr_task7,Interacting-Suffix P2L,0.1182,0.3626,0.4434,,,0.5338,50.98,23.804048441247,4170
cirr_task7,Independent-Suffix P2L,0.1182,0.3686,0.4535,,,0.5405,51.0,24.871180095923265,4170
oven_task8,Sequential,0.358,0.4452,0.4595,,,0.4723,50.01,47.64541625398548,14741
oven_task8,Interacting-Suffix P2L,0.3769,0.4768,0.4956,,,0.5093,50.01,23.82178481785496,14741
oven_task8,Independent-Suffix P2L,0.3831,0.4854,0.5044,,,0.5209,50.01,24.268981141035212,14741
infoseek_task8,Sequential,0.2013,0.3194,0.3503,,,0.3954,54.21,48.8602165634059,17593
infoseek_task8,Interacting-Suffix P2L,0.1997,0.3192,0.3545,,,0.3917,55.44,23.676687944068664,17593
infoseek_task8,Independent-Suffix P2L,0.2062,0.3309,0.3669,,,0.4165,54.88,24.06869232080941,17593
