task,width,seq_r10,seq_generation_ms,p2l_r10,p2l_generation_ms,r10_gain_pp,generation_speedup_x
CIRR-7,10,21.41,28.62,23.69,17.64,2.28,1.622
CIRR-7,20,31.10,30.57,33.69,18.38,2.59,1.663
CIRR-7,50,42.16,47.68,45.35,23.11,3.19,2.063
CIRR-7,100,49.14,75.21,51.51,31.24,2.37,2.408
NIGHTS-4,10,24.76,28.96,28.02,17.47,3.26,1.658
NIGHTS-4,20,38.87,31.04,42.69,18.40,3.82,1.687
NIGHTS-4,50,48.58,48.30,50.28,23.51,1.70,2.054
NIGHTS-4,100,50.71,75.87,51.42,31.04,0.71,2.444
EDIS-2,10,22.31,28.78,31.75,19.04,9.44,1.511
EDIS-2,20,31.07,31.87,40.48,20.12,9.41,1.584
EDIS-2,50,40.98,51.47,50.73,25.53,9.75,2.016
EDIS-2,100,48.32,79.62,56.53,33.44,8.21,2.381
WebQA-1,10,15.64,29.01,24.73,18.88,9.09,1.536
WebQA-1,20,22.61,32.27,33.48,20.24,10.87,1.594
WebQA-1,50,32.26,50.54,46.60,25.20,14.34,2.005
WebQA-1,100,42.48,78.36,56.29,33.03,13.81,2.372
