dataset	scope	cand_pool	Recall@1	Recall@5	Recall@10	Recall@20	Recall@50	log
visualnews_task0	local	visualnews_task0	11.87%	19.62%	21.73%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
visualnews_task0	union	union	11.99%	19.62%	21.69%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
mscoco_task0	local	mscoco_task0_test	52.61%	76.07%	82.50%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
mscoco_task0	union	union	41.57%	63.84%	68.68%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
fashion200k_task0	local	fashion200k_task0			13.90%	16.93%	20.94%	logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
fashion200k_task0	union	union			13.15%	16.70%	20.54%	logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
webqa_task1	local	webqa_task1	23.99%	30.59%	31.49%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
webqa_task1	union	union	23.42%	29.57%	30.55%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
edis_task2	local	edis_task2	21.04%	36.87%	41.78%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
edis_task2	union	union	21.14%	36.35%	41.41%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
webqa_task2	local	webqa_task2	34.37%	50.14%	54.24%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
webqa_task2	union	union	34.33%	49.94%	54.12%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
visualnews_task3	local	visualnews_task3	12.32%	20.07%	22.15%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
visualnews_task3	union	union	12.12%	19.73%	21.78%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
mscoco_task3	local	mscoco_task3_test	71.08%	88.56%	92.74%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
mscoco_task3	union	union	70.08%	87.84%	92.20%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
fashion200k_task3	local	fashion200k_task3			15.05%	19.37%	22.77%	logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
fashion200k_task3	union	union			15.20%	19.45%	22.72%	logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
nights_task4	local	nights_task4	6.84%	28.96%	48.63%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
nights_task4	union	union	6.60%	28.63%	48.30%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
oven_task6	local	oven_task6	25.65%	40.61%	44.66%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
oven_task6	union	union	27.41%	37.32%	40.82%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
infoseek_task6	local	infoseek_task6	11.00%	18.60%	21.79%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
infoseek_task6	union	union	9.60%	15.99%	18.93%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
fashioniq_task7	local	fashioniq_task7			14.79%	17.92%	20.39%	logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
fashioniq_task7	union	union			14.21%	17.12%	19.39%	logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
cirr_task7	local	cirr_task7	13.07%	35.42%	43.19%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
cirr_task7	union	union	12.83%	33.00%	39.66%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
oven_task8	local	oven_task8	35.78%	44.98%	46.47%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
oven_task8	union	union	43.80%	51.18%	53.02%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
infoseek_task8	local	infoseek_task8	19.47%	30.27%	32.88%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/local_all16.log
infoseek_task8	union	union	17.65%	27.10%	29.87%			logs/genius_official_current_rq50/all_mbeir_encoded_20260717_125254/union_all16.log
