decoder,candidate_count,queries,generation_seconds,generation_p50_ms_per_query,generation_p95_ms_per_query,generation_p99_ms_per_query,retrieval_seconds,retrieval_p50_ms_per_query,retrieval_p95_ms_per_query,retrieval_p99_ms_per_query,retrieval_mean_ms_per_query,recall_at_1,recall_at_5,recall_at_10,gt_in_beam_at_1,gt_in_beam_at_5,gt_in_beam_at_10,gt_in_beam_at_50,unique_codes,collision_item_rate,peak_allocated_mib,source_log,source_log_sha256,generation_ms_per_query,manifest_decode_to_rerank_seconds,manifest_decode_to_rerank_ms_per_query,online_decode_to_rerank_ms_per_query,leaves_mean,leaves_p95,leaves_p99
p2l,21551,4170,115.286214,27.00456,29.173248,30.463871,5.382446,0.797267,1.506057,6.638749,0.999726,0.1144,0.3813,0.4746,0.0731,0.2182,0.323,0.5847,21214,0.015637,2951.109,logs/structnar_cirr_scale_w20_p2l_0021551.log,f06eae2a3fa989c3706e117447be542ed5c8fb03684d4a631565447fd7ace4f5,27.646574100719427,120.66866,28.937328537170263,28.646300100719426,304.976978,506.0,626.93
p2l,100000,4170,115.938941,27.09248,29.004929,30.775092,5.64733,0.814778,1.801429,7.481995,1.044076,0.1161,0.3799,0.471,0.0722,0.2175,0.3201,0.5784,99626,0.00374,2951.109,logs/structnar_cirr_scale_w20_p2l_0100000.log,af94bfdfc5b67917a6185662f4e21119fe6171fbdde44c442db3c37cd899eba4,27.80310335731415,121.586271,29.157379136690647,28.84717935731415,301.648681,503.0,620.86
p2l,500000,4170,115.821901,27.111423,29.173887,30.952652,6.955179,0.815911,2.584885,7.608669,1.094174,0.117,0.3755,0.4657,0.0707,0.2144,0.3173,0.5717,498477,0.003046,2951.109,logs/structnar_cirr_scale_w20_p2l_0500000.log,4e1f9e725d2333f074bbef9c84d3d92278182192541b2242b451d416dd435ac3,27.775036211031175,122.77708,29.4429448441247,28.869210211031174,308.019664,506.0,636.31
p2l,1000000,4170,117.100255,27.351423,29.642624,31.124445,7.967672,0.816044,1.496318,5.439166,0.994711,0.1175,0.3734,0.4621,0.071,0.2113,0.3144,0.5657,995271,0.004729,2951.109,logs/structnar_cirr_scale_w20_p2l_1000000.log,2fa87b0690e67daddf73cd7025cebd8d4d12702a70f9085fa515b0911de5e23e,28.081595923261393,125.067927,29.992308633093526,29.07630692326139,320.117986,521.0,655.31
p2l,5609079,4170,121.656497,27.986835,30.626808,32.482603,85.097098,0.863609,2.539605,4.759274,1.093428,0.1168,0.3571,0.4439,0.0671,0.2012,0.2966,0.5353,5503136,0.018888,2951.109,logs/structnar_cirr_scale_w20_p2l_5609079.log,387a26af6d3e4ad3896ff6caeb9bdf3f99fbde070fba94e18630a09820d73fc1,29.17421990407674,206.75359500000002,49.58119784172663,30.26764790407674,432.519185,890.65,1403.93
sequential,21551,4170,249.773094,59.024258,61.520126,63.407292,5.532253,0.796217,2.349716,5.775127,1.035407,0.1242,0.3484,0.43,0.0552,0.1832,0.2851,0.5165,21214,0.015637,2951.109,logs/structnar_cirr_scale_w20_sequential_0021551.log,c315f4427a6ac17f651ca01711cfe9c97527f837871a0542a4fa066f3e89d62c,59.89762446043165,255.30534699999998,61.22430383693045,60.93303146043165,,,
sequential,100000,4170,245.790588,57.974903,61.031418,62.949061,5.903287,0.795125,1.615997,4.043225,0.935688,0.1259,0.348,0.4281,0.0544,0.1837,0.2854,0.5139,99626,0.00374,2951.109,logs/structnar_cirr_scale_w20_sequential_0100000.log,b20bc44fb7b114fcd9a130ccc2e3d9d07092b7e1918256db5082396731c41df9,58.94258705035972,251.69387500000002,60.358243405275786,59.87827505035972,,,
sequential,500000,4170,248.057907,58.631672,61.332993,62.763931,9.803719,0.811934,1.647413,5.303787,0.982129,0.1242,0.3432,0.4218,0.0547,0.1835,0.2815,0.5043,498477,0.003046,2951.109,logs/structnar_cirr_scale_w20_sequential_0500000.log,4d86f540dd146bf72e57ac1c6767284d6924bf150bbc6e9c2b516e6dad710ac2,59.48630863309353,257.861626,61.83732038369304,60.46843763309353,,,
sequential,1000000,4170,245.210518,58.237438,60.954624,62.121301,14.127587,0.798571,0.965286,3.448038,0.887694,0.1249,0.3408,0.4185,0.0552,0.1806,0.277,0.4974,995271,0.004729,2951.109,logs/structnar_cirr_scale_w20_sequential_1000000.log,c85de8f6a66cc9a3c66ccf3fe40b15055a83f531fb7f02013e4ffec9c79df3dc,58.80348153477218,259.338105,62.19139208633093,59.691175534772185,,,
sequential,5609079,4170,251.093898,58.960129,62.311295,67.374669,81.882435,0.816429,1.000126,4.507346,0.927255,0.1225,0.3209,0.3904,0.0525,0.1739,0.2662,0.4607,5503136,0.018888,2951.109,logs/structnar_cirr_scale_w20_sequential_5609079.log,210baa2fa2eef854694e4250d98ff39f4a585279283c83d52dc70693f9413d44,60.21436402877698,332.976333,79.85043956834532,61.14161902877698,,,
