scope,delta_r10_points,ci95_low_points,ci95_high_points,p_two_sided,queries,bootstrap_samples
visualnews_task0,7.236809202300575,6.706551637909477,7.751937984496124,0.0,19995,10000
mscoco_task0,0.705389173283889,0.5522189527993873,0.8585593937683905,0.0,24809,10000
fashion200k_task0,1.1634671320535195,-0.2326934264107039,2.559627690517743,0.1102,1719,10000
webqa_task1,11.568228105906314,9.571283095723015,13.482688391038696,0.0,2455,10000
edis_task2,9.194692995988893,7.5285405738969455,10.799136069114471,0.0,3241,10000
webqa_task2,5.535643170051772,3.782357626443649,7.24810832337714,0.0,2511,10000
visualnews_task3,7.485,6.97,8.025,0.0,20000,10000
mscoco_task3,0.6799999999999999,0.22,1.1400000000000001,0.0052,5000,10000
fashion200k_task3,0.6954387400286357,-0.10227040294538761,1.493147883002659,0.091,4889,10000
nights_task4,1.6981132075471699,0.6603773584905661,2.7830188679245285,0.0018,2120,10000
oven_task6,1.7678585713142947,1.525827933765299,2.003839692824574,0.0,50004,10000
infoseek_task6,0.5740528128587831,0.07065265389031175,1.1039477170361212,0.0298,11323,10000
fashioniq_task7,1.0994502748625687,0.31650841246043643,1.882392137264701,0.0058,6003,10000
cirr_task7,2.182254196642686,1.1750599520383693,3.1894484412470026,0.0,4170,10000
oven_task8,3.615765551862153,3.127331931347941,4.090631571806526,0.0,14741,10000
infoseek_task8,0.4149377593360996,-0.039788552265105435,0.8639799920422896,0.0736,17593,10000
task_macro,3.4760688058773344,3.219730091062481,3.725560036166554,0.0,190573,10000
