Dataset	Metric	Local	Union	Delta(Union-Local)
cirr_task7	Recall@1	0.1141	0.1168	+0.0027
cirr_task7	Recall@5	0.3813	0.3571	-0.0242
cirr_task7	Recall@10	0.4746	0.4439	-0.0307
edis_task2	Recall@1	0.2456	0.2431	-0.0025
edis_task2	Recall@5	0.4826	0.4816	-0.0010
edis_task2	Recall@10	0.5656	0.5643	-0.0013
fashion200k_task0	Recall@10	0.1478	0.1472	-0.0006
fashion200k_task0	Recall@20	0.1966	0.1960	-0.0006
fashion200k_task0	Recall@50	0.2449	0.2449	+0.0000
fashion200k_task3	Recall@10	0.1620	0.1620	+0.0000
fashion200k_task3	Recall@20	0.2174	0.2168	-0.0006
fashion200k_task3	Recall@50	0.2606	0.2600	-0.0006
fashioniq_task7	Recall@10	0.1856	0.1827	-0.0029
fashioniq_task7	Recall@20	0.2264	0.2221	-0.0043
fashioniq_task7	Recall@50	0.2569	0.2519	-0.0050
infoseek_task6	Recall@1	0.1256	0.1054	-0.0202
infoseek_task6	Recall@5	0.2136	0.1802	-0.0334
infoseek_task6	Recall@10	0.2536	0.2136	-0.0400
infoseek_task8	Recall@1	0.2137	0.1919	-0.0218
infoseek_task8	Recall@5	0.3484	0.3091	-0.0393
infoseek_task8	Recall@10	0.3891	0.3479	-0.0412
mscoco_task0	Recall@1	0.5295	0.4444	-0.0851
mscoco_task0	Recall@5	0.7663	0.6656	-0.1007
mscoco_task0	Recall@10	0.8336	0.7242	-0.1094
mscoco_task3	Recall@1	0.7228	0.7144	-0.0084
mscoco_task3	Recall@5	0.9022	0.8976	-0.0046
mscoco_task3	Recall@10	0.9408	0.9360	-0.0048
nights_task4	Recall@1	0.0745	0.0741	-0.0004
nights_task4	Recall@5	0.3099	0.3080	-0.0019
nights_task4	Recall@10	0.5132	0.5104	-0.0028
oven_task6	Recall@1	0.2490	0.2682	+0.0192
oven_task6	Recall@5	0.3975	0.3761	-0.0214
oven_task6	Recall@10	0.4384	0.4164	-0.0220
oven_task8	Recall@1	0.3891	0.4590	+0.0699
oven_task8	Recall@5	0.4969	0.5626	+0.0657
oven_task8	Recall@10	0.5188	0.5936	+0.0748
visualnews_task0	Recall@1	0.1592	0.1588	-0.0004
visualnews_task0	Recall@5	0.2774	0.2765	-0.0009
visualnews_task0	Recall@10	0.3125	0.3117	-0.0008
visualnews_task3	Recall@1	0.1684	0.1666	-0.0018
visualnews_task3	Recall@5	0.2817	0.2785	-0.0032
visualnews_task3	Recall@10	0.3177	0.3138	-0.0039
webqa_task1	Recall@1	0.3756	0.3564	-0.0192
webqa_task1	Recall@5	0.4888	0.4660	-0.0228
webqa_task1	Recall@10	0.5071	0.4819	-0.0252
webqa_task2	Recall@1	0.4285	0.4221	-0.0064
webqa_task2	Recall@5	0.6308	0.6213	-0.0095
webqa_task2	Recall@10	0.6906	0.6802	-0.0104
