dataset,method,batch,generation_seconds,examples,examples_per_second,measured_batches,warmup_batches_excluded,batch_p50_ms,batch_p95_ms,batch_p99_ms,query_p50_ms,query_p95_ms,query_p99_ms,recall_at_1,recall_at_5,recall_at_10
cirr_task7,p2l,1,389.466280,4170,10.706960,4169,1,88.707069,113.747018,131.682491,88.707069,113.747018,131.682491,0.1144,0.3815,0.4746
nights_task4,p2l,1,201.341627,2120,10.529368,2119,1,88.846397,113.412843,130.163286,88.846397,113.412843,130.163286,0.0745,0.3104,0.5127
edis_task2,p2l,1,380.569947,3241,8.516174,3240,1,104.584702,141.805710,162.278891,104.584702,141.805710,162.278891,0.2462,0.4832,0.5653
webqa_task1,p2l,1,275.286120,2455,8.917994,2454,1,102.549393,130.281440,147.560263,102.549393,130.281440,147.560263,0.376,0.4888,0.5071
cirr_task7,p2l,4,141.641442,4170,29.440536,1042,1,130.656769,150.874229,168.448190,32.664577,37.778677,42.141498,0.1141,0.3813,0.4746
nights_task4,p2l,4,72.218812,2120,29.355232,529,1,128.783356,142.749963,152.753416,32.195839,35.687491,38.188354,0.0745,0.3099,0.5132
edis_task2,p2l,4,182.420570,3241,17.766637,810,1,188.563965,240.950888,270.078299,47.155582,60.292659,67.827732,0.2456,0.4826,0.5656
webqa_task1,p2l,4,128.281941,2455,19.137534,613,1,181.032959,214.201791,229.581183,45.264896,53.550448,57.395296,0.376,0.4888,0.5071
cirr_task7,p2l,8,110.704342,4170,37.667899,521,1,205.597702,222.018661,228.321487,25.704201,27.765779,28.622900,0.1141,0.3813,0.4746
nights_task4,p2l,8,57.523192,2120,36.854700,264,1,203.296944,220.760324,236.793967,25.412118,27.595041,29.599246,0.0745,0.3099,0.5132
edis_task2,p2l,8,157.537411,3241,20.572891,405,1,321.086761,386.587231,433.752356,40.136063,48.388684,54.446126,0.2456,0.4826,0.5656
webqa_task1,p2l,8,110.003862,2455,22.317398,306,1,306.143753,346.302467,375.578212,38.279362,43.287808,46.947276,0.3756,0.4888,0.5071
cirr_task7,p2l,16,92.620541,4170,45.022410,260,1,342.967224,359.548570,369.405081,21.438363,22.501061,23.337104,0.1144,0.3813,0.4746
nights_task4,p2l,16,48.607084,2120,43.615041,132,1,341.025345,360.859683,369.548615,21.315998,22.576912,23.388481,0.0745,0.309,0.5123
edis_task2,p2l,16,144.390678,3241,22.446047,202,1,576.419342,664.922214,741.546147,36.029793,41.557638,46.346634,0.2456,0.4826,0.5656
webqa_task1,p2l,16,100.009981,2455,24.547550,153,1,539.293701,607.622351,646.931494,33.712894,38.144781,41.164951,0.376,0.4888,0.5071
cirr_task7,sequential,1,670.994692,4170,6.214654,4169,1,156.858368,179.129132,196.790291,156.858368,179.129132,196.790291,0.1235,0.3484,0.4302
nights_task4,sequential,1,344.126388,2120,6.160527,2119,1,157.340668,180.344466,197.157617,157.340668,180.344466,197.157617,0.0736,0.3047,0.4962
edis_task2,sequential,1,568.863917,3241,5.697320,3240,1,162.524155,187.306086,206.712922,162.524155,187.306086,206.712922,0.2009,0.3542,0.402
webqa_task1,sequential,1,425.497280,2455,5.769720,2454,1,162.545151,187.696799,206.783530,162.545151,187.696799,206.783530,0.224,0.2921,0.301
cirr_task7,sequential,4,280.011048,4170,14.892270,1042,1,263.382568,281.512801,292.984627,65.846878,70.392144,73.320705,0.124,0.3487,0.4305
nights_task4,sequential,4,144.591619,2120,14.661984,529,1,264.578369,281.976953,294.549374,66.144592,70.494238,73.637343,0.0736,0.3038,0.4967
edis_task2,sequential,4,252.663635,3241,12.827331,810,1,274.640396,294.316692,307.432104,68.663406,73.629892,76.997596,0.2002,0.3542,0.402
webqa_task1,sequential,4,184.529866,2455,13.304079,613,1,270.990326,291.863867,307.094774,67.748344,73.095039,76.773694,0.2244,0.2921,0.301
cirr_task7,sequential,8,241.430779,4170,17.272031,521,1,454.605042,474.694641,487.526605,56.826241,59.348732,61.112872,0.124,0.3484,0.43
nights_task4,sequential,8,123.802346,2120,17.124070,264,1,452.261215,471.019928,491.846679,56.532652,58.877491,61.480835,0.0736,0.3038,0.4967
edis_task2,sequential,8,218.275381,3241,14.848216,405,1,468.258942,486.459186,502.237847,58.534679,60.839293,63.616139,0.2002,0.3539,0.4017
webqa_task1,sequential,8,158.619918,2455,15.477249,306,1,463.376266,479.771751,489.922949,57.929455,59.971469,61.240369,0.2248,0.2925,0.3014
cirr_task7,sequential,16,212.721332,4170,19.603112,260,1,801.880493,822.039386,847.757792,50.120348,51.402522,54.054570,0.1233,0.3484,0.4309
nights_task4,sequential,16,110.151662,2120,19.246192,132,1,799.691895,825.325909,987.696274,49.988989,51.731416,62.854987,0.0736,0.3033,0.4967
edis_task2,sequential,16,196.572297,3241,16.487573,202,1,834.155487,843.870444,853.540978,52.136826,52.763324,53.993858,0.2002,0.3542,0.402
webqa_task1,sequential,16,143.347967,2455,17.126158,153,1,827.328491,844.396045,859.925759,51.714378,52.983564,53.989154,0.2244,0.2921,0.301
