dataset,method,beam,generation_seconds,examples,examples_per_second,recall_at_1,recall_at_5,recall_at_10
cirr_task7,p2l,10,87.326595,4170,47.751776,0.1118,0.2552,0.2839
nights_task4,p2l,10,46.631148,2120,45.463174,0.0665,0.2505,0.3594
edis_task2,p2l,10,111.143034,3241,29.160622,0.2095,0.3567,0.3875
webqa_task1,p2l,10,78.354094,2455,31.332122,0.2383,0.2908,0.2921
cirr_task7,p2l,20,91.212380,4170,45.717478,0.1223,0.3204,0.3866
nights_task4,p2l,20,47.663316,2120,44.478651,0.0712,0.2854,0.4675
edis_task2,p2l,20,120.793592,3241,26.830893,0.2308,0.423,0.4779
webqa_task1,p2l,20,84.772034,2455,28.960022,0.2847,0.3695,0.3776
cirr_task7,p2l,50,110.807297,4170,37.632901,0.1141,0.3813,0.4746
nights_task4,p2l,50,57.343460,2120,36.970214,0.0745,0.3099,0.5132
edis_task2,p2l,50,157.721603,3241,20.548866,0.2456,0.4826,0.5656
webqa_task1,p2l,50,109.743486,2455,22.370348,0.3756,0.4888,0.5071
cirr_task7,p2l,100,141.721622,4170,29.423880,0.1072,0.4134,0.5237
nights_task4,p2l,100,74.210619,2120,28.567340,0.075,0.3099,0.5146
edis_task2,p2l,100,209.219493,3241,15.490908,0.2576,0.515,0.6081
webqa_task1,p2l,100,144.791902,2455,16.955368,0.4293,0.5719,0.5976
cirr_task7,sequential,10,156.414430,4170,26.659944,0.1058,0.2091,0.23
nights_task4,sequential,10,80.636527,2120,26.290815,0.0575,0.2075,0.2821
edis_task2,sequential,10,146.246551,3241,22.161206,0.1287,0.2061,0.2181
webqa_task1,sequential,10,106.577889,2455,23.034797,0.1238,0.1442,0.1442
cirr_task7,sequential,20,169.945973,4170,24.537210,0.1213,0.2765,0.3221
nights_task4,sequential,20,87.007140,2120,24.365816,0.0632,0.2538,0.4028
edis_task2,sequential,20,161.923325,3241,20.015646,0.1571,0.2678,0.2984
webqa_task1,sequential,20,119.659305,2455,20.516582,0.1552,0.1939,0.1963
cirr_task7,sequential,50,250.497492,4170,16.646873,0.124,0.3484,0.43
nights_task4,sequential,50,126.119071,2120,16.809512,0.0736,0.3038,0.4967
edis_task2,sequential,50,222.558543,3241,14.562461,0.2002,0.3539,0.4017
webqa_task1,sequential,50,164.563044,2455,14.918295,0.2248,0.2925,0.3014
cirr_task7,sequential,100,361.456840,4170,11.536647,0.1151,0.3933,0.4938
nights_task4,sequential,100,188.421250,2120,11.251385,0.075,0.3094,0.508
edis_task2,sequential,100,319.430741,3241,10.146174,0.2157,0.4094,0.4674
webqa_task1,sequential,100,227.042820,2455,10.812938,0.2945,0.3809,0.3967
